datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
3/3/2018,10,3.3,5.8,9.2,0.6,3.9,61.1,0.232,100,4.17,0,21.5,356.7,16,8,3/3/2018 6:26:48 AM,3/3/2018 5:49:37 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
3/4/2018,7.8,1.7,5.2,6.6,-0.7,2.8,54.6,0,0,0,0,19.8,30.4,16,5,3/4/2018 6:25:15 AM,3/4/2018 5:50:45 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
3/5/2018,7.1,1.1,3.7,3.9,-0.8,1.6,57.2,0.232,100,4.17,0,23.5,8.8,16,6,3/5/2018 6:23:41 AM,3/5/2018 5:51:52 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
3/6/2018,8.3,1.6,4.7,6.7,-0.5,2.4,62,0,0,0,0,17.9,265.1,15.9,8,3/6/2018 6:22:06 AM,3/6/2018 5:52:59 PM,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
3/7/2018,3.9,1.1,2,0.1,-5.1,-2.2,90.8,26.549,100,83.33,1.2,36.4,35.6,11.9,1,3/7/2018 6:20:31 AM,3/7/2018 5:54:06 PM,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,snow
3/8/2018,4.9,0.9,2.9,2.3,-2.4,0.1,70,0.936,100,12.5,0.7,11.2,291.6,16,5,3/8/2018 6:18:55 AM,3/8/2018 5:55:12 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
3/9/2018,6.6,-0.7,2.6,4,-6.6,-2.1,60.6,0.414,100,8.33,0.7,13,253.6,16,5,3/9/2018 6:17:19 AM,3/9/2018 5:56:19 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
3/10/2018,4.9,0,2.9,2.8,-4.1,-0.6,53,0,0,0,0,23.5,270.4,16,6,3/10/2018 6:15:42 AM,3/10/2018 5:57:24 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
3/11/2018,8.7,0.7,4.3,7.3,-2.8,1.9,47.1,0,0,0,0,13,269.7,16,8,3/11/2018 7:14:05 AM,3/11/2018 6:58:30 PM,Clear,Clear conditions throughout the day.,clear-day
3/12/2018,6.1,1.6,4,2.7,-3.1,0,64.3,0.016,100,4.17,0,27.4,241,16,6,3/12/2018 7:12:28 AM,3/12/2018 6:59:36 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
3/13/2018,6,1.1,3,4.3,-2.6,0.4,76.4,6.098,100,66.67,0,23.7,247.3,14.8,3,3/13/2018 7:10:50 AM,3/13/2018 7:00:41 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain
3/14/2018,5,0,2.2,0.5,-6.2,-3,60,0.718,100,8.33,0,34.5,262.1,15.8,8,3/14/2018 7:09:12 AM,3/14/2018 7:01:46 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
3/15/2018,9.3,0.6,4,5.8,-4.3,0.3,52.9,0,0,0,0,28.8,268.9,16,8,3/15/2018 7:07:34 AM,3/15/2018 7:02:51 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
3/16/2018,5.5,0.9,2.9,3.5,-2.4,0.3,52.7,1.649,100,8.33,0,25.2,228,16,7,3/16/2018 7:05:55 AM,3/16/2018 7:03:55 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
3/17/2018,9.3,-1.7,3.6,7.8,-6.8,1.2,41.2,0,0,0,0,25.6,257.9,16,8,3/17/2018 7:04:16 AM,3/17/2018 7:05:00 PM,Clear,Clear conditions throughout the day.,clear-day
3/18/2018,8.2,-0.7,3.9,8.2,-4.2,1.8,33.1,0.232,100,4.17,0,13,293.8,16,8,3/18/2018 7:02:37 AM,3/18/2018 7:06:04 PM,Rain,Clear conditions throughout the day with afternoon rain.,rain
3/19/2018,9.3,2.1,5.1,7.6,-2.5,3.1,41,0,0,0,0,19.9,351.6,16,8,3/19/2018 7:00:58 AM,3/19/2018 7:07:08 PM,Clear,Clear conditions throughout the day.,clear-day
3/20/2018,3.9,0.6,2.4,-0.4,-4.8,-2.3,47.8,0,0,0,0,27.7,45.8,16,2,3/20/2018 6:59:19 AM,3/20/2018 7:08:12 PM,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
3/21/2018,4.3,0.6,1.8,-0.9,-5.6,-3,77.9,5.461,100,66.67,2.9,22.4,55.3,8.4,1,3/21/2018 6:57:39 AM,3/21/2018 7:09:16 PM,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain.,snow
3/22/2018,11.6,0.9,5.3,11.6,-2.3,4.1,63.6,5.587,100,45.83,1.7,13,314.4,14.9,9,3/22/2018 6:56:00 AM,3/22/2018 7:10:20 PM,"Rain, Partially cloudy",Clear conditions throughout the day with afternoon rain.,snow
